Name,Description,Quantity,Total Cost,Link,Distributor
PCB,Main PCB(cost includes payment fees),1,$1.36,https://aivon.com/,AIVON
Wemos D1 Mini,Main chip for Network connection(cost includes tax),1,$2.17,https://quartzcomponents.com/products/wemos-d1-mini-esp8266-nodemcu-mini-d1-module?variant=39261072392376,quartz component
Pi Pico,The 3 Picos which actually mine(tax inclusive and shipping grouped with wemos),3,$12.23,https://quartzcomponents.com/products/raspberry-pi-pico?variant=37945289801912,quartz component
0.96 inch oled display,OLED display,1,$1.71,https://quartzcomponents.com/collections/all/products/oled-display-0-96-inch-i2c-interface-4-pin-blue-ssd1306,quartz component
40 pin male header,Header pins for the pi picos as they are not included(tax inclusive and shipping grouped with wemos),3,$0.26,https://quartzcomponents.com/products/40-pin-break-away-headers-straight-male-headers?variant=31898065633415,quartz component
